,image_id,image_name,product_url,image_path
85,long_sleeve86,off_the_shoulder_sweatshirt,https://www.venus.com/viewproduct.aspx?BRANCH=7~63~2052~&ProductDisplayID=66301,data/venus/women/tops/long_sleeve/off_the_shoulder_sweatshirt
86,long_sleeve87,crochet_detail_ribbed_top,https://www.venus.com/viewproduct.aspx?BRANCH=7~63~2052~&ProductDisplayID=64094,data/venus/women/tops/long_sleeve/crochet_detail_ribbed_top
87,long_sleeve88,plaid_surplice_top,https://www.venus.com/viewproduct.aspx?BRANCH=7~63~2052~&ProductDisplayID=66716,data/venus/women/tops/long_sleeve/plaid_surplice_top
88,long_sleeve89,ruched_cut_out_top,https://www.venus.com/viewproduct.aspx?BRANCH=7~63~2052~&ProductDisplayID=67271,data/venus/women/tops/long_sleeve/ruched_cut_out_top
89,long_sleeve90,mesh_floral_print_top,https://www.venus.com/viewproduct.aspx?BRANCH=7~63~2052~&ProductDisplayID=68820,data/venus/women/tops/long_sleeve/mesh_floral_print_top
90,long_sleeve91,floral_bell_sleeve_top,https://www.venus.com/viewproduct.aspx?BRANCH=7~63~2052~&ProductDisplayID=68519,data/venus/women/tops/long_sleeve/floral_bell_sleeve_top
91,long_sleeve92,mesh_detail_top,https://www.venus.com/viewproduct.aspx?BRANCH=7~63~2052~&ProductDisplayID=62515,data/venus/women/tops/long_sleeve/mesh_detail_top
92,long_sleeve93,exaggerated_hem_lace_top,https://www.venus.com/viewproduct.aspx?BRANCH=7~63~2052~&ProductDisplayID=63749,data/venus/women/tops/long_sleeve/exaggerated_hem_lace_top
93,long_sleeve94,metallic_snake_print_top,https://www.venus.com/viewproduct.aspx?BRANCH=7~63~2052~&ProductDisplayID=67281,data/venus/women/tops/long_sleeve/metallic_snake_print_top
94,long_sleeve95,floral_lace_top,https://www.venus.com/viewproduct.aspx?BRANCH=7~63~2052~&ProductDisplayID=68520,data/venus/women/tops/long_sleeve/floral_lace_top
95,long_sleeve96,tie_front_high_low_top,https://www.venus.com/viewproduct.aspx?BRANCH=7~63~2052~&ProductDisplayID=65022,data/venus/women/tops/long_sleeve/tie_front_high_low_top
96,long_sleeve97,slash_detail_sweatshirt_1,https://www.venus.com/viewproduct.aspx?BRANCH=7~63~2052~&ProductDisplayID=39299,data/venus/women/tops/long_sleeve/slash_detail_sweatshirt_1
